image_index,sample_group,filename,label,nepali_label,foreground_pixels,foreground_ratio,bbox_width,bbox_height,aspect_ratio,bbox_density,centroid_x,centroid_y,contour_area,perimeter,solidity,compactness,orientation,eccentricity,number_of_holes,horizontal_symmetry,vertical_symmetry,horizontal_transition_rate,vertical_transition_rate
0,0,group_000_digit_0_index_0000.png,0,०,121,0.15433673469387754,20,20,1.0,0.3025,0.4489374262101535,0.4752066115702479,286.0,64.28427064418793,0.9694915254237289,0.8696939630451024,0.4381244753383402,0.39219441070550815,1,0.9362244897959183,0.9362244897959183,0.09523809523809523,0.09259259259259259
1,0,group_000_digit_1_index_0001.png,1,१,80,0.10204081632653061,10,20,0.5,0.4,0.5080357142857143,0.4133928571428571,83.5,50.72792184352875,0.7106382978723405,0.4077577248593221,1.3058896288110142,0.8621393215547635,1,0.923469387755102,0.9132653061224489,0.07142857142857142,0.042328042328042326
2,0,group_000_digit_2_index_0002.png,2,२,131,0.16709183673469388,17,20,0.85,0.38529411764705884,0.48773173391494,0.438113413304253,92.5,89.49747371673584,0.4065934065934066,0.1451209269708077,1.3938919807574814,0.6298536585059273,0,0.8341836734693877,0.7423469387755102,0.06878306878306878,0.082010582010582
3,0,group_000_digit_3_index_0003.png,3,३,116,0.14795918367346939,14,20,0.7,0.4142857142857143,0.5166256157635468,0.4907635467980295,76.0,96.42640614509583,0.3470319634703196,0.10271443814496825,-1.405553406321158,0.7607730038533963,1,0.8673469387755102,0.7755102040816326,0.06613756613756613,0.10052910052910052
4,0,group_000_digit_4_index_0004.png,4,४,135,0.17219387755102042,20,16,1.25,0.421875,0.49047619047619045,0.457936507936508,118.0,70.42640614509583,0.5756097560975609,0.29896532302737416,1.0130112971389706,0.5022196932619211,1,0.8596938775510204,0.8239795918367347,0.06613756613756613,0.07936507936507936
5,0,group_000_digit_5_index_0005.png,5,५,106,0.13520408163265307,13,20,0.65,0.4076923076923077,0.4585579514824798,0.5464959568733153,70.5,83.35533833503723,0.3949579831932773,0.12750644687630525,1.4969619396469653,0.6616136742060477,1,0.8826530612244898,0.8418367346938775,0.07671957671957672,0.06613756613756613
6,0,group_000_digit_6_index_0006.png,6,६,141,0.1798469387755102,16,20,0.8,0.440625,0.450354609929078,0.5273556231003039,95.5,101.01219260692596,0.41612200435729846,0.11761579251789361,1.1839158713303268,0.7023339551718476,0,0.8698979591836735,0.8290816326530612,0.07407407407407407,0.0873015873015873
7,0,group_000_digit_7_index_0007.png,7,७,129,0.16454081632653061,20,17,1.1764705882352942,0.37941176470588234,0.4988925802879291,0.455703211517165,98.5,85.8406194448471,0.4129979035639413,0.16798109528252533,-0.37540251947932113,0.7461468283338114,1,0.8086734693877551,0.8239795918367347,0.08994708994708994,0.06878306878306878
8,0,group_000_digit_8_index_0008.png,8,८,79,0.10076530612244898,18,20,0.9,0.21944444444444444,0.44439421338155516,0.49050632911392406,29.5,56.38477599620819,0.2532188841201717,0.11660258033269674,1.349502074711486,0.8676137861604535,0,0.8545918367346939,0.8698979591836735,0.0582010582010582,0.082010582010582
9,0,group_000_digit_9_index_0009.png,9,९,111,0.14158163265306123,13,20,0.65,0.4269230769230769,0.4803732303732304,0.4671814671814672,97.0,87.59797883033752,0.4837905236907731,0.15885227058842843,1.5554632469398195,0.8204246118380925,1,0.8596938775510204,0.8954081632653061,0.06878306878306878,0.10582010582010581
10,1,group_001_digit_0_index_0010.png,0,०,105,0.13392857142857142,18,20,0.9,0.2916666666666667,0.4551020408163265,0.4891156462585034,222.0,57.9411244392395,0.9631236442516269,0.8309769938701209,1.019158161193634,0.6028604324890268,1,0.8443877551020408,0.8494897959183674,0.09259259259259259,0.082010582010582
11,1,group_001_digit_1_index_0011.png,1,१,100,0.12755102040816327,12,20,0.6,0.4166666666666667,0.5146428571428572,0.41964285714285715,112.5,53.55634880065918,0.7839721254355401,0.49287916921157465,1.2300519439874682,0.8242371616577665,1,0.903061224489796,0.8877551020408163,0.07407407407407407,0.047619047619047616
